"","IL21","IL22","IL17A","IFN","TNF","IL4"
"m2_ileum_mucosa_psg_r2_7d",-11.9917389876152,-4.64240694847364,-10.1765647965994,-7.62304173467474,-8.40011262465559,-12.3736490483959
"m2_fecal_psg_r6_7d_repeatredone",-13.2551693189464,-12.4869644905116,-10.9698746939095,-8.95601603357845,-12.8780025136585,-7.09402582277162
"m5_ileum_mucosa_flu_r2_7d",-9.91810385211041,-5.32228807631838,-7.97774221064192,-7.13695588728522,-7.73105442600795,-11.5359474488382
"m3_fecal_control_r5_21d",-7.59909010285307,-7.55045081924599,-7.91009966479091,-5.80461990158644,-10.420200472471,-12.2381950910989
"m4_fecal_control_r6_21d",-6.82612921010219,-5.65466664923444,-6.75502015655204,-2.251302798667,-9.69139685963529,-9.81986725208616
"m2_fecal_psg_r5_7d",-13.2328257744431,-13.5037262910871,-13.8095682485086,-8.42352526846872,-13.7773095953491,-8.87099369907948
"m2_fecal_psg_r5_21d",-11.9018786483273,-11.7695430731422,-12.3572374541775,-7.92834042833212,-10.5445091851276,-12.5888422559062
"m1_ileum_mucosa_van_r5_7d",-12.4189094938557,-12.3772074084837,-11.8070361567871,-8.08923626467285,-12.7412626857488,-11.3198535673834
"m3_ileum_mucosa_control_r4_21d_repeat",-9.44699605232232,-6.88506466906244,-8.44215065610274,-7.62602131296017,-10.7235412615305,-10.1733794788906
"m2_fecal_control_r1_7d",-9.38728998353974,-5.15597441003127,-8.23875117712101,-6.42128177578051,-3.76688856428259,-13.8007697396428
"m3_fecal_amp_r1_7d",-9.88216255522169,-5.48860174260548,-7.89192878444426,-7.02778283168337,-7.14625107525102,-11.328090403012
"m3_fecal_flu_r2_7d",-8.47690573973856,-5.15597441003127,-7.40888142843934,-6.8553146430427,-7.38979100445171,-10.8082895335718
"m4_ileum_mucosa_amp_r2_7d",-8.60677331936891,-5.48860174260548,-7.94427766693828,-6.84423602712305,-7.05703865669929,-12.4057975661562
"m2_ileum_mucosa_van_r6_7d",-9.61607801721922,-7.93713632457606,-9.76736701464289,-8.60453371347725,-7.79762075382014,-8.27538098884705
"m3_ileum_mucosa_amp_r2_7d",-9.88216255522169,-5.48860174260548,-7.89192878444426,-7.02778283168337,-7.14625107525102,-11.328090403012
"m4_ileum_mucosa_van_r6_21d_repeatredone",-12.4801411380297,-11.1253731709806,-12.4194812357163,-9.54407755227622,-9.24418261506583,-4.20260260499344
"m3_fecal_psg_r1_7d",-10.8552966596825,-7.6033233876251,-9.66193999860423,-7.87713038194875,-8.11402739135866,-12.4752313399489
"m4_fecal_flu_r2_7d",-8.91348549859207,-5.15597441003127,-7.47377829946318,-6.614906576579,-7.60101446581455,-12.5298849582366
"m3_ileum_mucosa_psg_r2_7d",-10.8552966596825,-7.6033233876251,-9.66193999860423,-7.87713038194875,-8.11402739135866,-12.4752313399489
"m4_ileum_luminal_van_r2_7d",-7.19834423900738,-10.1474462435643,-9.24537187214811,-7.67920568099937,-7.10358161620726,-8.37450943474424
"m1_fecal_psg_r5_7d_repeat",-12.9587023503483,-9.67787026343575,-11.0384008209306,-8.86998995095732,-12.3850031584181,-11.1075336928844
"m2_ileum_mucosa_van_r5_21d",-10.3507657711578,-11.9198371188214,-11.1388753474224,-6.86981423040428,-10.2267968026311,-12.5764061587761
"m2_fecal_amp_r1_7d",-9.69467013193821,-5.20337816463841,-7.71209327172922,-6.7650931982505,-5.41732390037315,-11.1470123248742
"m1_ileum_mucosa_van_r6_7d_repeatredone",-13.6081874932036,-9.55443478370959,-11.3772850479021,-9.3230388559018,-13.0062305915503,-11.2573379570895
"m4_fecal_control_r6_21d_repeatredone",-9.67585807803763,-7.98175886101891,-8.29350179019919,-7.64423593853423,-11.1436887514693,-9.54579632518837
"m3_ileum_luminal_psg_r2_7d",-10.8552966596825,-7.6033233876251,-9.66193999860423,-7.87713038194875,-8.11402739135866,-12.4752313399489
"m2_fecal_psg_r4_7d_repeat",-13.2551693189464,-12.4869644905116,-10.9698746939095,-8.95601603357845,-12.8780025136585,-7.09402582277162
"m4_ileum_mucosa_flu_r2_7d",-8.91348549859207,-5.15597441003127,-7.47377829946318,-6.614906576579,-7.60101446581455,-12.5298849582366
"m2_fecal_psg_r6_21d",-9.22302650171673,-9.06411242283047,-8.19321416152051,-4.57932701603057,-10.6250177468479,-8.9383837996109
"m3_ileum_mucosa_van_r4_7d_repeat",-12.6734461366236,-11.5934611274594,-11.0036590561483,-9.22230162337546,-12.6346549079151,-11.0206528895495
"m3_fecal_van_r4_21d_repeat",-8.53590721146036,-10.2663501721446,-9.67022259589391,-9.64107713528754,-11.9650200232725,-11.7251760605348
"m1_ileum_mucosa_control_r4_7d_repeat",-10.622075625578,-6.30991377823664,-9.28487643574805,-7.85514459795832,-11.3433346006551,-11.5802732617634
"m1_fecal_psg_r5_7d",-13.9694487603665,-11.6949294721884,-13.2364619590054,-8.78089184578606,-12.523634024913,-8.16008184271592
"m4_fecal_psg_r6_7d",-8.59293018200799,-7.85249949918239,-9.00823512971099,-9.19861933252549,-8.36801054614742,-8.84023304774911
"m1_ileum_luminal_amp_r2_7d",-9.61311909165904,-5.48860174260548,-8.1440859994162,-6.68107399283778,-3.85762005104885,-11.5327547726223
"m4_ileum_mucosa_control_r6_21d",-6.82612921010219,-5.65466664923444,-6.75502015655204,-2.251302798667,-9.69139685963529,-9.81986725208616
"m4_fecal_control_r6_7d",-5.92122232305373,-4.05790463494943,-6.75502015655204,-7.17593019262085,-7.61598970176141,-11.3124611544403
"m1_fecal_psg_r6_21d_repeatredone",-12.4861146444785,-11.8378761305354,-11.8104545269484,-9.64129253315901,-11.3893282533293,-9.75437123817328
"m2_fecal_van_r5_7d",-12.8572068610569,-13.3154688724055,-12.2976069628838,-8.28145330804917,-12.9057329907726,-12.020390076604
"m2_ileum_mucosa_psg_r6_7d",-5.59731657016578,-4.64240694847364,-6.75502015655204,-9.06839819933557,-5.96441763488641,-5.26397970997992
"m5_ileum_mucosa_van_r2_7d",-9.91922879841844,-9.31826528400065,-9.55480022483566,-7.26663407819831,-6.73292000796205,-10.6916533554074
"m3_fecal_psg_r6_21d_repeatredone",-11.6261064811808,-10.9970406604683,-12.3389048540694,-9.8668104562505,-11.6592769709088,-11.4300467824775
"m4_fecal_van_r6_7d",-10.6748600931466,-10.1474462435643,-10.6079261873344,-8.55119474809225,-8.19456636161708,-9.05733935616055
"m3_ileum_mucosa_psg_r6_21d",-13.1897058258746,-10.4063714620293,-11.6886528375,-5.99828777245611,-11.4319724025646,-11.0023618755322
"m3_fecal_control_r4_7d_repeat",-11.1643058784814,-6.63113162608711,-9.53891388580404,-8.28522469473287,-11.9095671145312,-11.0395961220459
"m2_ileum_mucosa_psg_r5_7d",-13.2328257744431,-13.5037262910871,-13.8095682485086,-8.42352526846872,-13.7773095953491,-8.87099369907948
"m3_ileum_mucosa_psg_r4_21d_repeat",-11.6261064811808,-10.9970406604683,-12.3389048540694,-9.8668104562505,-11.6592769709088,-11.4300467824775
"m1_ileum_mucosa_van_r5_21d",-10.7789146907553,-11.0845188700939,-11.5719326455503,-7.40859261881981,-11.1576104453095,-11.9575498881166
"m1_ileum_mucosa_control_r5_21d",-8.36655581888891,-7.49963551110941,-7.40261077349828,-6.58455645998449,-9.92916850337188,-10.772556015413
"m3_ileum_mucosa_psg_r6_7d",-8.51736820673052,-7.6033233876251,-9.28487643574805,-9.68857296647531,-8.54930324533447,-8.61085572932825
"m2_fecal_van_r6_21d",-11.8801833541061,-9.43090225865618,-9.82590818408522,-4.54916799587281,-10.9577366042908,-11.3920095640871
"m1_fecal_psg_r1_7d",-11.9645203791407,-9.25764479041263,-10.0769770272465,-7.4456917702948,-3.89544616362337,-12.1160107594116
"m2_ileum_luminal_psg_r2_7d",-11.9917389876152,-4.64240694847364,-10.1765647965994,-7.62304173467474,-8.40011262465559,-12.3736490483959
"m5_ileum_luminal_psg_r2_7d",-11.8311162306672,-5.37604542176427,-9.76736701464289,-8.49313004519094,-8.74403105831872,-11.3222059367252
"m3_fecal_control_r1_7d",-9.64858490296142,-5.20337816463841,-8.17569432378502,-6.70571279757598,-3.71591771558893,-12.841849434719
"m3_ileum_luminal_van_r2_7d",-9.64858490296142,-5.437997912236,-7.89192878444426,-6.3769329291113,-1.51799428904308,-12.3848237838608
"m3_ileum_mucosa_psg_r5_7d",-14.7996278774132,-13.3127130736456,-14.1142077412796,-9.44044811709202,-14.0431755656741,-8.20894040436992
"m3_fecal_psg_r5_7d",-14.7996278774132,-13.3127130736456,-14.1142077412796,-9.44044811709202,-14.0431755656741,-8.20894040436992
"m2_ileum_mucosa_control_r6_21d",-8.3424376851322,-5.95073343671756,-6.10115888466475,-3.43903632989243,-10.0496121940183,-9.1347413691043
"m4_ileum_mucosa_van_r4_21d_repeat",-12.4801411380297,-11.1253731709806,-12.4194812357163,-9.54407755227622,-9.24418261506583,-4.20260260499344
"m2_fecal_flu_r2_7d",-11.0810261722581,-5.48860174260548,-8.73159382367394,-6.99608497912344,-4.71917013654321,-11.723369991307
"m3_fecal_control_r6_21d_repeatredone",-9.44699605232232,-6.88506466906244,-8.44215065610274,-7.62602131296017,-10.7235412615305,-10.1733794788906
"m1_ileum_mucosa_control_r5_7d",-11.0201212558021,-10.2029237683999,-10.3254144148769,-6.83300965302996,-12.1294042398002,-11.2792376997803
"m2_ileum_luminal_van_r2_7d",-10.4207169702253,-7.93713632457606,-9.57149246626911,-7.1355433493963,-4.96676722357962,-9.74025367867199
"m3_ileum_mucosa_van_r2_7d",-8.47690573973856,-5.437997912236,-7.89192878444426,-7.64423593853423,-1.51799428904308,-11.9744943667551
"m1_ileum_mucosa_psg_r4_7d_repeat",-12.9587023503483,-9.67787026343575,-11.0384008209306,-8.86998995095732,-12.3850031584181,-11.1075336928844
"m2_fecal_van_r6_7d",-9.61607801721922,-7.93713632457606,-9.76736701464289,-8.60453371347725,-7.79762075382014,-8.27538098884705
"m1_fecal_control_r1_7d",-9.53626028076295,-5.48860174260548,-7.94525647594418,-6.3769329291113,-6.39559654420363,-10.9544646294499
"m2_ileum_mucosa_van_r6_21d",-11.8801833541061,-9.43090225865618,-9.82590818408522,-4.54916799587281,-10.9577366042908,-11.3920095640871
"m3_fecal_psg_r6_21d",-13.1897058258746,-10.4063714620293,-11.6886528375,-5.99828777245611,-11.4319724025646,-11.0023618755322
"m2_ileum_luminal_amp_r2_7d",-9.69467013193821,-5.20337816463841,-7.71209327172922,-6.7650931982505,-5.41732390037315,-11.1470123248742
"m4_ileum_mucosa_psg_r4_21d_repeat",-12.2690401347183,-12.9746375787088,-11.4721962747562,-9.50237590700954,-12.474250174324,-11.2500997685173
"m3_fecal_control_r5_7d",-11.8381225061848,-8.58422013945479,-10.7052494267412,-7.13783910840708,-12.3414800825403,-12.7248464391453
"m1_ileum_mucosa_van_r4_7d_repeat",-13.6081874932036,-9.55443478370959,-11.3772850479021,-9.3230388559018,-13.0062305915503,-11.2573379570895
"m1_ileum_mucosa_van_r6_21d_repeatredone",-12.7690199768986,-12.2035099320872,-11.787786084662,-9.8357634856414,-11.47019169905,-11.3004708372016
"m2_ileum_mucosa_van_r5_7d",-12.8572068610569,-13.3154688724055,-12.2976069628838,-8.28145330804917,-12.9057329907726,-12.020390076604
"m1_ileum_mucosa_psg_r6_7d_repeatredone",-12.9587023503483,-9.67787026343575,-11.0384008209306,-8.86998995095732,-12.3850031584181,-11.1075336928844
"m2_ileum_mucosa_control_r4_7d_repeat",-10.9709849687148,-6.40429269599274,-9.51682613083178,-8.25455204220794,-11.7669922489379,-10.541570955921
"m3_ileum_mucosa_van_r5_21d",-13.6823179727285,-11.0490342283935,-12.1816532409894,-6.77383646141635,-10.9876822755962,-12.4688539969663
"m2_fecal_van_r1_7d",-10.4207169702253,-7.93713632457606,-9.57149246626911,-7.1355433493963,-4.96676722357962,-9.74025367867199
"m4_ileum_mucosa_control_r2_7d",-9.11040454336358,-4.05790463494943,-7.53979042711773,-7.67434665204627,-7.22013859739489,-12.1081313846029
"m4_fecal_control_r4_21d_repeat",-9.67585807803763,-7.98175886101891,-8.29350179019919,-7.64423593853423,-11.1436887514693,-9.54579632518837
"m1_ileum_mucosa_van_r4_21d_repeat",-12.7690199768986,-12.2035099320872,-11.787786084662,-9.8357634856414,-11.47019169905,-11.3004708372016
"m5_fecal_psg_r1_7d",-11.8311162306672,-5.37604542176427,-9.76736701464289,-8.49313004519094,-8.74403105831872,-11.3222059367252
"m1_ileum_mucosa_control_r2_7d",-9.53626028076295,-5.48860174260548,-7.94525647594418,-6.3769329291113,-6.39559654420363,-10.9544646294499
"m2_fecal_psg_r6_7d",-5.59731657016578,-4.64240694847364,-6.75502015655204,-9.06839819933557,-5.96441763488641,-5.26397970997992
"m3_ileum_mucosa_control_r5_7d",-11.8381225061848,-8.58422013945479,-10.7052494267412,-7.13783910840708,-12.3414800825403,-12.7248464391453
"m4_ileum_luminal_flu_r2_7d",-8.91348549859207,-5.15597441003127,-7.47377829946318,-6.614906576579,-7.60101446581455,-12.5298849582366
"m3_fecal_psg_r5_21d",-13.0156098324625,-11.2285062097219,-11.6219125486838,-7.21349542135562,-10.9802698586176,-13.6644560950448
"m1_fecal_control_r5_21d",-8.36655581888891,-7.49963551110941,-7.40261077349828,-6.58455645998449,-9.92916850337188,-10.772556015413
"m2_fecal_control_r6_21d",-8.3424376851322,-5.95073343671756,-6.10115888466475,-3.43903632989243,-10.0496121940183,-9.1347413691043
"m3_ileum_mucosa_psg_r5_21d",-13.0156098324625,-11.2285062097219,-11.6219125486838,-7.21349542135562,-10.9802698586176,-13.6644560950448
"m4_ileum_luminal_control_r2_7d",-9.11040454336358,-4.05790463494943,-7.53979042711773,-7.67434665204627,-7.22013859739489,-12.1081313846029
"m3_fecal_van_r6_7d",-5.96642077666855,-5.437997912236,-6.75502015655204,-8.73067729576405,-7.1453084012988,-10.5922090103254
"m4_ileum_mucosa_psg_r6_21d_repeatredone",-12.2690401347183,-12.9746375787088,-11.4721962747562,-9.50237590700954,-12.474250174324,-11.2500997685173
"m3_fecal_control_r4_21d_repeat",-9.44699605232232,-6.88506466906244,-8.44215065610274,-7.62602131296017,-10.7235412615305,-10.1733794788906
"m5_ileum_luminal_flu_r2_7d",-9.91810385211041,-5.15597441003127,-7.97774221064192,-7.13695588728522,-7.73105442600795,-11.5359474488382
"m4_fecal_van_r6_21d",-11.4114976723401,-11.8881077611505,-10.0769770272465,-5.20381296584197,-11.3475974845528,-10.4590176980866
"m1_fecal_van_r1_7d",-11.7012425591324,-7.19568804952272,-9.82590818408522,-7.74424179315769,-4.90342528979743,-11.4505893673879
"m1_fecal_van_r5_21d",-10.7789146907553,-11.0845188700939,-11.5719326455503,-7.40859261881981,-11.1576104453095,-11.9575498881166
"m3_fecal_van_r4_7d_repeat",-12.6734461366236,-11.5934611274594,-11.0036590561483,-9.22230162337546,-12.6346549079151,-11.0206528895495
