"","IL21","IL22","IL17A","IFN","TNF","IL4"
"m4_fecal_psg_r4_21d_repeat",-12.2690401347183,-12.9746375787088,-11.4721962747562,-9.50237590700954,-12.474250174324,-11.2500997685173
"m3_fecal_psg_r4_21d_repeat",-11.6261064811808,-10.9970406604683,-12.3389048540694,-9.8668104562505,-11.6592769709088,-11.4300467824775
"m3_ileum_luminal_control_r2_7d",-9.64858490296142,-5.20337816463841,-8.17569432378502,-6.70571279757598,-3.71591771558893,-12.841849434719
"m2_fecal_control_r5_21d",-7.87746788485237,-7.64481255066157,-8.06532807487376,-5.65971487282218,-10.3456270185137,-11.9744943667551
"m3_fecal_van_r5_7d",-12.4596960230984,-13.0755418163297,-12.1521698588312,-8.23730642355566,-13.554485651575,-11.663414689447
"m3_ileum_luminal_amp_r2_7d",-9.88216255522169,-5.48860174260548,-7.89192878444426,-7.02778283168337,-7.14625107525102,-11.328090403012
"m1_fecal_control_r5_7d",-11.0201212558021,-10.2029237683999,-10.3254144148769,-6.83300965302996,-12.1294042398002,-11.2792376997803
"m1_fecal_psg_r6_7d_repeatredone",-12.9587023503483,-9.67787026343575,-11.0384008209306,-8.86998995095732,-12.3850031584181,-11.1075336928844
"m1_fecal_control_r5_7d_repeat",-10.622075625578,-6.30991377823664,-9.28487643574805,-7.85514459795832,-11.3433346006551,-11.5802732617634
"m4_fecal_van_r6_21d_repeatredone",-12.4801411380297,-11.1253731709806,-12.4194812357163,-9.54407755227622,-9.24418261506583,-4.20260260499344
"m2_ileum_luminal_flu_r2_7d",-11.0810261722581,-5.48860174260548,-8.73159382367394,-6.99608497912344,-4.71917013654321,-11.723369991307
"m1_ileum_mucosa_psg_r5_21d",-13.1651456252998,-12.0788463382465,-11.9753959398071,-7.35602246568377,-11.1765103728389,-12.4919936029891
"m4_ileum_mucosa_control_r4_21d_repeat",-9.67585807803763,-7.98175886101891,-8.29350179019919,-7.64423593853423,-11.1436887514693,-9.54579632518837
"m1_ileum_mucosa_amp_r2_7d",-9.61311909165904,-5.15597441003127,-8.1440859994162,-6.68107399283778,-3.85762005104885,-11.5327547726223
"m2_ileum_mucosa_psg_r4_7d_repeat",-13.2551693189464,-12.4869644905116,-10.9698746939095,-8.95601603357845,-12.8780025136585,-7.09402582277162
"m1_ileum_luminal_van_r2_7d",-11.7012425591324,-7.19568804952272,-9.82590818408522,-7.74424179315769,-4.90342528979743,-11.4505893673879
"m3_fecal_van_r5_21d",-13.6823179727285,-11.0490342283935,-12.1816532409894,-6.77383646141635,-10.9876822755962,-12.4688539969663
"m3_ileum_mucosa_psg_r4_7d_repeat",-14.2256616280632,-10.9736989906835,-11.4269404478411,-8.79582302594858,-12.345040503274,-10.9656599139316
"m5_fecal_flu_r2_7d",-9.91810385211041,-5.32228807631838,-7.97774221064192,-7.13695588728522,-7.73105442600795,-11.5359474488382
"m3_fecal_van_r6_21d",-11.7111203389205,-10.4209316971371,-10.5153319208091,-5.32265514210052,-10.5606037170066,-9.84613226918736
"m4_ileum_mucosa_psg_r2_7d",-10.2371130449813,-7.85249949918239,-9.27780262973592,-7.74593054373374,-7.93737709616618,-12.1889874325524
"m1_ileum_mucosa_control_r4_21d_repeat",-8.74557544077865,-6.66724343350683,-7.94346601060762,-7.55530978284397,-10.8025328455037,-9.48153511057052
"m5_ileum_mucosa_psg_r2_7d",-11.8311162306672,-5.37604542176427,-9.76736701464289,-8.49313004519094,-8.74403105831872,-11.3222059367252
"m1_fecal_control_r4_21d_repeat",-8.74557544077865,-6.66724343350683,-7.94346601060762,-7.55530978284397,-10.8025328455037,-9.48153511057052
"m1_ileum_luminal_flu_r2_7d",-9.92106106615329,-5.48860174260548,-7.96175468762474,-6.74202899853788,-7.30486538750757,-12.3848237838608
"m2_ileum_mucosa_psg_r5_21d",-11.9018786483273,-11.7695430731422,-12.3572374541775,-7.92834042833212,-10.5445091851276,-12.5888422559062
"m4_fecal_van_r4_21d_repeat",-12.4801411380297,-11.1253731709806,-12.4194812357163,-9.54407755227622,-9.24418261506583,-4.20260260499344
"m2_fecal_van_r5_21d",-10.3507657711578,-11.9198371188214,-11.1388753474224,-6.86981423040428,-10.2267968026311,-12.5764061587761
"m1_ileum_mucosa_psg_r4_21d_repeat",-12.4861146444785,-11.8378761305354,-11.8104545269484,-9.64129253315901,-11.3893282533293,-9.75437123817328
"m4_ileum_mucosa_control_r6_7d",-5.92122232305373,-4.05790463494943,-6.75502015655204,-7.17593019262085,-7.61598970176141,-11.3124611544403
"m4_fecal_psg_r6_21d_repeatredone",-12.2690401347183,-12.9746375787088,-11.4721962747562,-9.50237590700954,-12.474250174324,-11.2500997685173
"m2_ileum_mucosa_control_r5_7d",-10.7037300860476,-10.1836301186303,-10.0392225140935,-7.15818781053402,-12.2267326002265,-11.6738903085677
"m2_fecal_control_r6_7d",-6.93640169757226,-5.15597441003127,-7.47433592777854,-8.02056588845014,-8.03715260140645,-9.57336112230734
"m5_ileum_mucosa_control_r2_7d",-7.90441043694231,-3.31516648518649,-6.10115888466475,-5.2017752186554,-7.24878327734469,-10.7267160839647
"m1_ileum_mucosa_flu_r2_7d",-9.92106106615329,-5.48860174260548,-7.96175468762474,-6.74202899853788,-7.30486538750757,-12.3848237838608
"m1_fecal_van_r4_21d_repeat",-12.7690199768986,-12.2035099320872,-11.787786084662,-9.8357634856414,-11.47019169905,-11.3004708372016
"m3_fecal_control_r6_7d",-6.10779613662213,-5.20337816463841,-6.75502015655204,-7.74122946153336,-7.84479478560885,-10.6458459859109
"m3_fecal_van_r6_21d_repeatredone",-8.53590721146036,-10.2663501721446,-9.67022259589391,-9.64107713528754,-11.9650200232725,-11.7251760605348
"m2_fecal_control_r4_7d_repeat",-10.9709849687148,-6.40429269599274,-9.51682613083178,-8.25455204220794,-11.7669922489379,-10.541570955921
"m4_ileum_mucosa_van_r6_7d",-10.6748600931466,-10.1474462435643,-10.6079261873344,-8.55119474809225,-8.19456636161708,-9.05733935616055
"m4_ileum_mucosa_psg_r6_21d",-7.79854020054568,-6.4688167116727,-7.6504051064418,-4.50546965788247,-7.66708299437677,-11.2695109444806
"m3_fecal_control_r6_21d",-7.29038852902058,-6.16197769835899,-6.10115888466475,-3.59708453651954,-10.0586337277045,-11.6432995613899
"m2_ileum_luminal_control_r2_7d",-9.38728998353974,-5.15597441003127,-8.23875117712101,-6.42128177578051,-3.76688856428259,-13.8007697396428
"m1_ileum_mucosa_van_r2_7d",-11.7012425591324,-7.19568804952272,-9.82590818408522,-7.74424179315769,-4.90342528979743,-11.4505893673879
"m1_ileum_mucosa_control_r6_21d_repeatredone",-8.74557544077865,-6.66724343350683,-7.94346601060762,-7.55530978284397,-10.8025328455037,-9.48153511057052
"m2_ileum_mucosa_flu_r2_7d",-11.0810261722581,-5.48860174260548,-8.73159382367394,-6.99608497912344,-4.71917013654321,-11.723369991307
"m2_fecal_van_r6_7d_repeatredone",-12.8362224919714,-10.3786725820823,-11.3459544606812,-9.54065580069606,-12.2965204657877,-10.779769420391
"m2_ileum_mucosa_van_r4_7d_repeat",-12.8362224919714,-10.3786725820823,-11.3459544606812,-9.54065580069606,-12.2965204657877,-10.779769420391
"m1_fecal_van_r6_21d_repeatredone",-12.7690199768986,-12.2035099320872,-11.787786084662,-9.8357634856414,-11.47019169905,-11.3004708372016
"m2_ileum_mucosa_control_r2_7d",-9.38728998353974,-5.15597441003127,-8.23875117712101,-6.42128177578051,-3.76688856428259,-13.8007697396428
"m1_fecal_van_r5_7d",-12.4189094938557,-12.3772074084837,-11.8070361567871,-8.08923626467285,-12.7412626857488,-11.3198535673834
"m1_fecal_psg_r5_21d",-13.1651456252998,-12.0788463382465,-11.9753959398071,-7.35602246568377,-11.1765103728389,-12.4919936029891
"m3_ileum_mucosa_control_r6_7d",-6.10779613662213,-5.20337816463841,-6.75502015655204,-7.74122946153336,-7.84479478560885,-10.6458459859109
"m1_ileum_mucosa_psg_r2_7d",-11.9645203791407,-9.25764479041263,-10.0769770272465,-7.4456917702948,-3.89544616362337,-12.1160107594116
"m1_ileum_luminal_psg_r2_7d",-11.9645203791407,-9.25764479041263,-10.0769770272465,-7.4456917702948,-3.89544616362337,-12.1160107594116
"m3_fecal_van_r1_7d",-7.29038852902058,-5.437997912236,-7.53979042711773,-7.64423593853423,-1.51799428904308,-9.54579632518837
"m4_fecal_amp_r1_7d",-8.60677331936891,-7.49963551110941,-7.94427766693828,-6.84423602712305,-7.05703865669929,-12.4057975661562
"m2_fecal_psg_r1_7d",-11.9917389876152,-4.64240694847364,-10.1765647965994,-7.62304173467474,-8.40011262465559,-12.3736490483959
"m3_ileum_mucosa_van_r5_7d",-12.4596960230984,-13.0755418163297,-12.1521698588312,-8.23730642355566,-13.554485651575,-11.663414689447
"m2_ileum_mucosa_control_r5_21d",-7.87746788485237,-7.64481255066157,-8.06532807487376,-5.65971487282218,-10.3456270185137,-11.9744943667551
"m3_ileum_mucosa_psg_r6_7d_repeatredone",-14.2256616280632,-10.9736989906835,-11.4269404478411,-8.79582302594858,-12.345040503274,-10.9656599139316
"m1_ileum_luminal_control_r2_7d",-9.53626028076295,-5.48860174260548,-7.94525647594418,-6.3769329291113,-6.39559654420363,-10.9544646294499
"m4_fecal_psg_r1_7d",-10.2371130449813,-7.85249949918239,-9.27780262973592,-7.74593054373374,-7.93737709616618,-12.1889874325524
"m2_ileum_mucosa_amp_r2_7d",-9.69467013193821,-5.20337816463841,-7.71209327172922,-6.7650931982505,-5.41732390037315,-11.1470123248742
"m5_ileum_luminal_van_r2_7d",-9.91922879841844,-9.31826528400065,-9.55480022483566,-7.26663407819831,-6.73292000796205,-10.6916533554074
"m2_fecal_van_r4_7d_repeat",-12.8362224919714,-10.3786725820823,-11.3459544606812,-9.54065580069606,-12.2965204657877,-10.779769420391
"m3_ileum_mucosa_control_r6_21d",-7.29038852902058,-6.16197769835899,-6.10115888466475,-3.59708453651954,-10.0586337277045,-11.6432995613899
"m1_fecal_control_r6_21d_repeatredone",-8.74557544077865,-6.66724343350683,-7.94346601060762,-7.55530978284397,-10.8025328455037,-9.48153511057052
"m4_ileum_mucosa_van_r6_21d",-11.4114976723401,-11.8881077611505,-10.0769770272465,-5.20381296584197,-11.3475974845528,-10.4590176980866
"m3_ileum_mucosa_psg_r6_21d_repeatredone",-11.6261064811808,-10.9970406604683,-12.3389048540694,-9.8668104562505,-11.6592769709088,-11.4300467824775
"m4_ileum_mucosa_van_r2_7d",-7.19834423900738,-10.1474462435643,-9.24537187214811,-7.67920568099937,-7.10358161620726,-8.37450943474424
"m4_ileum_luminal_amp_r2_7d",-8.60677331936891,-7.49963551110941,-7.94427766693828,-6.84423602712305,-7.05703865669929,-12.4057975661562
"m4_fecal_control_r1_7d",-9.11040454336358,-4.05790463494943,-7.53979042711773,-7.67434665204627,-7.22013859739489,-12.1081313846029
"m3_ileum_mucosa_van_r6_21d",-11.7111203389205,-10.4209316971371,-10.5153319208091,-5.32265514210052,-10.5606037170066,-9.84613226918736
"m2_ileum_mucosa_control_r6_7d",-6.93640169757226,-5.15597441003127,-7.47433592777854,-8.02056588845014,-8.03715260140645,-9.57336112230734
"m5_fecal_van_r1_7d",-9.91922879841844,-9.31826528400065,-9.55480022483566,-7.26663407819831,-6.73292000796205,-10.6916533554074
"m1_fecal_psg_r4_21d_repeat",-12.4861146444785,-11.8378761305354,-11.8104545269484,-9.64129253315901,-11.3893282533293,-9.75437123817328
"m1_ileum_mucosa_psg_r5_7d",-13.9694487603665,-11.6949294721884,-13.2364619590054,-8.78089184578606,-12.523634024913,-8.16008184271592
"m3_ileum_mucosa_van_r6_7d",-5.96642077666855,-5.437997912236,-6.75502015655204,-8.73067729576405,-7.1453084012988,-10.5922090103254
"m3_fecal_psg_r4_7d_repeat",-14.2256616280632,-10.9736989906835,-11.4269404478411,-8.79582302594858,-12.345040503274,-10.9656599139316
"m3_ileum_mucosa_van_r6_21d_repeatredone",-8.53590721146036,-10.2663501721446,-9.67022259589391,-9.64107713528754,-11.9650200232725,-11.7251760605348
"m3_ileum_luminal_flu_r2_7d",-8.47690573973856,-5.15597441003127,-7.40888142843934,-6.8553146430427,-7.38979100445171,-10.8082895335718
"m3_ileum_mucosa_control_r5_21d",-7.59909010285307,-7.55045081924599,-7.91009966479091,-5.80461990158644,-10.420200472471,-12.2381950910989
"m3_ileum_mucosa_van_r4_21d_repeat",-8.53590721146036,-10.2663501721446,-9.67022259589391,-9.64107713528754,-11.9650200232725,-11.7251760605348
"m1_fecal_van_r5_7d_repeat",-13.6081874932036,-9.55443478370959,-11.3772850479021,-9.3230388559018,-13.0062305915503,-11.2573379570895
"m4_ileum_mucosa_psg_r6_7d",-8.59293018200799,-7.85249949918239,-9.00823512971099,-9.19861933252549,-8.36801054614742,-8.84023304774911
"m2_ileum_mucosa_psg_r6_21d",-9.22302650171673,-9.06411242283047,-8.19321416152051,-4.57932701603057,-10.6250177468479,-8.9383837996109
"m4_ileum_luminal_psg_r2_7d",-10.2371130449813,-7.85249949918239,-9.27780262973592,-7.74593054373374,-7.93737709616618,-12.1889874325524
"m2_ileum_mucosa_psg_r6_7d_repeatredone",-13.2551693189464,-12.4869644905116,-10.9698746939095,-8.95601603357845,-12.8780025136585,-7.09402582277162
"m3_ileum_mucosa_control_r4_7d_repeat",-11.1643058784814,-6.63113162608711,-9.53891388580404,-8.28522469473287,-11.9095671145312,-11.0395961220459
"m5_fecal_control_r1_7d",-7.90441043694231,-3.31516648518649,-6.10115888466475,-5.2017752186554,-7.24878327734469,-10.7267160839647
"m3_fecal_psg_r6_7d",-8.51736820673052,-7.6033233876251,-9.28487643574805,-9.68857296647531,-8.54930324533447,-8.61085572932825
"m4_fecal_van_r1_7d",-7.19834423900738,-10.1474462435643,-9.24537187214811,-7.67920568099937,-7.10358161620726,-8.37450943474424
"m3_ileum_mucosa_flu_r2_7d",-8.47690573973856,-5.15597441003127,-7.40888142843934,-6.8553146430427,-7.38979100445171,-10.8082895335718
"m1_fecal_flu_r1_7d",-9.92106106615329,-5.15597441003127,-7.96175468762474,-6.74202899853788,-7.30486538750757,-12.3848237838608
"m2_ileum_mucosa_van_r2_7d",-10.4207169702253,-7.93713632457606,-9.57149246626911,-7.1355433493963,-4.96676722357962,-9.74025367867199
"m3_fecal_psg_r6_7d_repeatredone",-14.2256616280632,-10.9736989906835,-11.4269404478411,-8.79582302594858,-12.345040503274,-10.9656599139316
"m1_fecal_amp_r1_7d",-9.61311909165904,-5.48860174260548,-8.1440859994162,-6.68107399283778,-3.85762005104885,-11.5327547726223
"m3_ileum_mucosa_control_r2_7d",-9.64858490296142,-5.20337816463841,-8.17569432378502,-6.70571279757598,-3.71591771558893,-12.841849434719
"m2_fecal_control_r5_7d",-10.7037300860476,-10.1836301186303,-10.0392225140935,-7.15818781053402,-12.2267326002265,-11.6738903085677
"m4_fecal_psg_r6_21d",-7.79854020054568,-6.4688167116727,-7.6504051064418,-4.50546965788247,-7.66708299437677,-11.2695109444806
"m5_ileum_luminal_control_r2_7d",-7.90441043694231,-3.31516648518649,-6.10115888466475,-5.2017752186554,-7.24878327734469,-10.7267160839647
